Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value
Taeniatherum,Poaceae,Poales,0.0,0.0,1.0,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.0,1.7807017544210528,0.49689285714285714,4.555,0
Tagetes,Asteraceae,Asterales,0.0,0.0,0.0,0.0,0.00210989,0.0,0.9667911996712328,0.761325295527027,0.9507266543025209,2.58694816475,0.6654010416875,1.18,
Talinum,Talinaceae,Caryophyllales,0.0,0.0,1.0,0.0,0.090909091,0.0,0.9841325564285818,0.7694294731480881,1.0,2.3942552466726874,0.6304592000547441,3.61002258814534,
Tamarix,Tamaricaceae,Caryophyllales,0.738916256,0.103448276,1.0,1.0,0.0,0.28760069469672456,0.9841325564285818,0.7694294731480881,0.5,0.0,0.6304592000547441,1.5825,3.14372018
Tanacetum,Asteraceae,Asterales,0.0,0.0,0.931034483,0.0,0.00210989,0.015625,1.0,0.75,1.0,2.58694816475,0.6654010416875,6.43,35.11297638
Taraxacum,Asteraceae,Asterales,0.007936036,0.012578616,1.0,0.0,0.00210989,0.015625,0.666666667,0.96875,1.0,2.58694816475,0.6654010416875,1.513333333,41.82513466
Tauschia,Apiaceae,Apiales,0.0,0.0,1.0,0.0,0.003968254,0.0,1.0,0.8953401360571428,0.9996012759210526,3.3888888888333333,0.925,2.5124782609130434,
Taxus,Taxaceae,Pinophyta,0.0,0.0,1.0,1.0,0.0,0.28760069469672456,1.0,1.0,0.0,0.777777778,0.6304592000547441,11.4,2.006854005
Tectaria,Tectariaceae,Monilophyta,0.0,0.0,1.0,0.0,0.0,0.28760069469672456,0.9841325564285818,0.7694294731480881,0.8173756359705927,2.3942552466726874,0.6304592000547441,3.61002258814534,
Teesdalia,Brassicaceae,Brassicales,0.0,0.0,0.0,0.0,0.00485306,0.0,1.0,1.0,1.0,2.9222222222222225,0.4929733334,0.61,
Telekia,Asteraceae,Asterales,0.0,0.0,1.0,0.0,0.00210989,0.015625,1.0,0.5,1.0,2.58694816475,0.6654010416875,1.29,
Teline,Fabaceae,Fabales,0.0,0.0,1.0,1.0,0.096494845,0.7719298245789473,1.0,0.9291558728928572,1.0,2.075313283157895,0.5700679541176471,1.03,
Templetonia,Fabaceae,Fabales,0.0,0.0,1.0,0.666666667,0.096494845,0.7719298245789473,1.0,0.9291558728928572,1.0,2.075313283157895,0.5700679541176471,1.6492406904042554,
Tephroseris,Asteraceae,Asterales,0.0,0.0,1.0,0.0,0.00210989,0.015625,1.0,0.7,1.0,2.58694816475,0.6654010416875,3.3862005286025645,
Terminalia,Combretaceae,Myrtales,0.0,0.0,1.0,1.0,0.01,0.0,0.9841325564285818,0.7694294731480881,1.0,2.425,0.6304592000547441,3.955,40.35504373
Tetracoccus,Picrodendraceae,Malpighiales,0.0,0.0,1.0,1.0,0.0,0.28760069469672456,0.9841325564285818,0.7694294731480881,0.8173756359705927,2.3942552466726874,0.6304592000547441,3.61002258814534,
Tetradymia,Asteraceae,Asterales,0.0,0.0,1.0,1.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025209,2.58694816475,0.6654010416875,3.3862005286025645,
Tetragonia,Aizoaceae,Caryophyllales,0.0,0.0,0.25,0.0,0.000990099,0.0,0.9841325564285818,0.7694294731480881,0.0,2.3942552466726874,0.6304592000547441,0.43,
Tetragonolobus,Fabaceae,Fabales,0.0,0.0,0.2,0.0,0.096494845,0.7719298245789473,1.0,0.9291558728928572,1.0,2.075313283157895,0.5700679541176471,1.6492406904042554,
Tetramolopium,Asteraceae,Asterales,0.0,0.0,1.0,1.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025209,2.58694816475,0.6654010416875,3.3862005286025645,
Tetraplasandra,Araliaceae,Apiales,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,4.0,0.6304592000547441,1.8086842105,
Tetrarrhena,Poaceae,Poales,0.0,0.0,1.0,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.03468030404761905,1.7807017544210528,0.49689285714285714,4.6528267402125,
Tetratheca,Elaeocarpaceae,Oxalidales,0.0,0.0,1.0,0.875,0.0,0.28760069469672456,0.9841325564285818,0.7694294731480881,1.0,1.985294118,0.983333333,3.61002258814534,
